泰文	舊拼音(Sheet)	中文	課次	無法處理的音節
ฉันว่างช่วงบ่าย	chan wang chuang bai	我下午有空	初 5-1	ช่วง
ช่วงนี้เขาไม่ยอมไปทำงาน	chuang ni khao mai yom pai tam ngan	最近他不肯去上班	初 5-1	ช่วง
ช่วงตรุษจีน หยุดเรียนสามอาทิตย์	chuang trut chin yut rian sam athit	春節期間我們放假三週	初 5-1	ช่วง
แฟนมีต	faen mit	粉絲 / 粉絲見面會	初 5-1	ต
แฟนมีตวันที่เท่าไหร่	faen mit wan thi thao rai	粉絲見面會是幾號？	初 5-1	ต
แฟนมีตที่ไต้หวันวันที่ 30	faen mit thi tai wan wan thi sam sip	台灣的粉絲見面會在30號	初 5-1	ต
แฟนมีตที่ไต้หวันสนุกมาก	faen mit thi tai wan sanuk mak	台灣的粉絲見面會很有趣	初 5-1	ต
ซีรีส์ช่องไหนสนุก / ละครช่องไหนสนุก	siri chong nai sanuk / la khon chong nai sanuk	哪一台的影集/連續劇好看？	初 5-1	คร
ตอนนี้ฝนตก / ตอนนี้ฝนกำลังตก	ton ni fon tok / ton ni fon kamlang tok	現在正在下雨	初 5-1	ฝน
ไม่ม่ฮ้วนเลย	mai uan loei	一點也不胖	初 5-1	ม่ฮ้วน
ฉันคิดว่าคุณไม่อ้วนเลย	chan kit wa khun mai uan loei	我覺得你一點也不胖	初 5-1	อ้วน
อ้วนไปหน่อย	uan pai noi	最近變胖了一點	初 5-1	อ้วน
นั่งรถไฟความเร็วสูงไปเกาสง	nang rot fai khwam reo sung pai kao song	坐高鐵去高雄	初 5-1	สง
คนจน	khon chon	窮人	初 5-1	จน
มหาเศรษฐี	maha set thi	大富翁	初 5-1	มหา
มหาวิทยาลัย	mahawittayalai	大學	初 5-1	มหา, วิทยา
มหากษัตริย์	mahakasat	國王	初 5-1	กษัต, มหา
มหาสมุทร	mahasamut	大海 / 洋	初 5-1	มหา, สมุทร
ทำธุรกิจส่วนตัว	tam tu-ra-kit suan tua	做個人生意 (私人的)	初 5-1	ส่วน
ของใช้ส่วนตัว	khong chai suan tua	私人物品	初 5-1	ส่วน
ขอหวย	kho huai	買彩券 / 賭博	初 5-1	หวย
เมื่อก่อนรวย เดี๋ยวนี้จน	meua kon ruai diao ni chon	以前有錢，現在窮	初 5-1	จน
หล่อแต่จน	lo tae chon	帥但是窮	初 5-1	จน
พวกเรายังไม่แก่	phuak rao yang mai kae	我們還沒老	初 5-1	พวก
ไม่ยาวกกำลังกาย	mai ok kam-lang kai	不運動	初 5-1	วก
อ้วนขึ้น	uan kheun	變胖	初 5-1	อ้วน
คุณผอมลงหรืออ้วนขึ้น	khun phom long reu uan kheun	你變瘦了還是變胖了？	初 5-1	อ้วน
อ้วนขึ้นกี่กิโล	uan kheun ki kilo	胖了幾公斤？	初 5-1	อ้วน
อ้วนขึ้น 4 กิโล	uan kheun si kilo	胖了 4 公斤	初 5-1	อ้วน
อ้วนขึ้น 2 กิโล	uan kheun song kilo	老師胖了 2 公斤	初 5-1	อ้วน
ฉันคิดว่าเขาเป็นมหาเศรษฐี	Chan Khit Wa Khao Pen Maha Setthi	我認為他是大富翁	初 5-2	มหา
มหาเศรษฐี	Maha Setthi	大富翁	初 5-2	มหา
ฉันกินไม่หมด	Chan Kin Mai Mot	我吃不完	初 5-2	หมด
ลืมหมดแล้ว	Luem Mot Laeo	忘光了	初 5-2	หมด
ผมกินไม่หมด	Phom Kin Mai Mot	我吃不完（男）	初 5-2	หมด
ลูกคนรวย พ่อเป็นมหาเศรษฐี	Luk Khon Ruay Pho Pen Maha Setthi	有錢人的小孩，爸爸是大富翁	初 5-2	มหา
ทำไมเขาจน	Thammai Khao Chon	為什麼他很窮呢	初 5-2	จน
อย่าดูถูกคนจน	Ya Du Thuk Khon Chon	別看不起窮人	初 5-2	จน
พวกเราเห็นใจคนจน	Phuak Rao Hen Chai Khon Chon	我們同情窮人	初 5-2	จน, พวก
หวย	Huay	樂透 / 彩券	初 5-2	หวย
ถูกหวย	Thuk Huay	中獎	初 5-2	หวย
ผลไม้แก่	Phonlamai Kae	老的（熟透的）水果	初 5-2	ผล
มะม่วงแก่	Mamuang Kae	老的（熟透的）芒果	初 5-2	ม่วง
ส่วนใหญ่ผู้ชายเสียงต่ำ	Suan Yai Phu Chai Siang Tam	大部分男人聲音很低	初 5-2	ส่วน
เขาได้ทั้งหมดกี่คะแนน	Khao Dai Thang Mot Ki Khanaen	他全部得到幾票（幾分）	初 5-2	หมด
ช่วงนี้คุณผอมไปหน่อยนะ	Chuang Ni Khun Phom Pai Noi Na	最近你瘦了一點喔	初 5-2	ช่วง
ทำธุรกิจส่วนตัว	Tham Thurakit Suan Tua	做私人生意	初 5-2	ส่วน
ส่วนตัว	Suan Tua	私人 / 個人	初 5-2	ส่วน
เวลาส่วนตัว	Wela Suan Tua	私人時間	初 5-2	ส่วน
เรื่องส่วนตัว	Rueang Suan Tua	私人的事情	初 5-2	ส่วน
ของใช้ส่วนตัว	Khong Chai Suan Tua	私人用品	初 5-2	ส่วน
เครื่องบินส่วนตัว	Khrueang Bin Suan Tua	私人飛機	初 5-2	ส่วน
ทั้งหมดมีกี่วิธี	Thang Mot Mi Ki Withi	全部有幾個方法	初 5-2	หมด
ง่วง	Nguang	困了	初 5-2	ง่วง
ง่วงเหมือนกัน	Nguang Muean Kan	一樣困	初 5-2	ง่วง
งง	Ngong	迷惑 / 糊塗 / 混淆	初 5-2	งง
ก็งงเหมือนกัน	Ko Ngong Muean Kan	一樣糊塗	初 5-2	งง
งงมาก	Ngong Mak	很糊塗	初 5-2	งง
ยิ่งฟังยิ่งงง	Ying Fang Ying Ngong	越聽越糊塗	初 5-2	งง
สกปรก	Sokkaprok	髒	初 5-2	ปรก, สก
สอนภาษาอังกฤษ	Son Phasa Angkrit	教英文	初 5-2	กฤษ
เบื่อกงาน	Buea Ngan	厭煩工作	初 5-2	ก
ช่วงนี้เบื่องานไหม	Chuang Ni Buea Ngan Mai	最近厭煩工作嗎	初 5-2	ช่วง
เขาซวยจริงๆ	Khao Suay Ching Ching	他真的很倒霉	初 5-2	จริง, ๆ
ขยันทำงาน	Khayan Tham Ngan	勤勞工作	初 5-2	ขยัน
ขยันเรียน	Khayan Rian	勤勞學習	初 5-2	ขยัน
ขยันเรียนไหม	Khayan Rian Mai	有勤勞學習嗎	初 5-2	ขยัน
ขยันหาเงิน	Khayan Ha Ngoen	勤勞賺錢	初 5-2	ขยัน
ขยันหาเงินไหม	Khayan Ha Ngoen Mai	有勤勞賺錢嗎	初 5-2	ขยัน
ขยันเก็บเงิน	Khayan Kep Ngoen	勤勞存錢	初 5-2	ขยัน
ขยันทำการบ้าน	Khayan Tham Kan Ban	勤勞做作業	初 5-2	ขยัน
ขยันทำการบ้านไหม	Khayan Tham Kan Ban Mai	有勤勞做作業嗎	初 5-2	ขยัน
ฉันขยันทำการบ้าน	Chan Khayan Tham Kan Ban	我勤勞做作業	初 5-2	ขยัน
ขยันจัง	Khayan Chang	真勤勞	初 5-2	ขยัน
ขยันจริงๆ	Khayan Ching Ching	真的很勤勞	初 5-2	ขยัน, จริง, ๆ
ติดต่อสะดวก	Tittat Saduak	聯絡方便	初 5-2	ดวก
เข้าออกสะดวก	Khao Ok Saduak	進出方便	初 5-2	ดวก
ถ้ามีรถไฟฟ้าไปไหนมาไหนสะดวก	Tha Mi Rot Fai Fa Pai Nai Ma Nai Saduak	如果有捷運去哪裡都方便	初 5-2	ดวก
ตอนนี้ไม่สะดวก	Ton Ni Mai Saduak	現在不方便	初 5-2	ดวก
กำลังเรียนภาษาไทยไม่สะดวกคุย	Kamlang Rian Phasa Thai Mai Saduak Khui	正在學泰文不方便講話	初 5-2	ดวก
ธรรมดา	Thammada	普通 / 平常 / 通常	初 5-2	ธรรม
คนธรรมดา	Khon Thammada	普通人	初 5-2	ธรรม
ปกติ	Pokkati	正常 / 平常	初 5-2	ปก
วันธรรมดา	Wan Thammada	平日	初 5-2	ธรรม
ธรรมดา 30 พิเศษ 60	Thammada 30 Phiset 60	普通30（塊）特大60（塊）	初 5-2	ธรรม
เป็นเรื่องธรรมดา	Pen Rueang Thammada	是平常的事情	初 5-2	ธรรม
สว่าง	Sawang	亮	初 5-2	สว่าง
สว่างไม่พอ	Sawang Mai Pho	不夠亮	初 5-2	สว่าง
ฟ้าสว่างแล้ว	Fa Sawang Laeo	天亮了	初 5-2	สว่าง
ตาสว่าง	Ta Sawang	眼睛亮了 / 看清事實	初 5-2	สว่าง
อ้วนขึ้น	uan khuen	變胖了	初 5-3	อ้วน
อ้วน	uan	胖	初 5-3	อ้วน
ง่วง	nguang	想睡覺 / 困	初 5-3	ง่วง
ง่วงก็ไปนอน	nguang ko pai non	困就去睡覺	初 5-3	ง่วง
ง่วงแต่ไม่ยอมนอน	nguang tae mai yom non	困但不肯睡	初 5-3	ง่วง
ถ้าง่วงอย่าขับรถ	tha nguang ya khap rot	如果困別開車	初 5-3	ง่วง
ถ้าง่วงอย่าขับรถดีกว่า	tha nguang ya khap rot di kwa	如果困別開車比較好	初 5-3	ง่วง
งง	ngong	迷糊 / 搞混	初 5-3	งง
คุณยิ่งพูดฉันยิ่งงง	khun ying phut chan ying ngong	你越說我越糊塗	初 5-3	งง
เรื่องนี้ยิ่งฟังยิ่งงง	rueang ni ying fang ying ngong	這件事情越聽越糊塗	初 5-3	งง
เขาทำให้ผมงงจริงๆ	khao tham hai phom ngong ching ching	他真的讓我搞混（男）	初 5-3	งง, จริง, ๆ
เขาทำให้ฉันงงจริงๆ	khao tham hai chan ngong ching ching	他真的讓我搞混（女）	初 5-3	งง, จริง, ๆ
ดูละคร	du lakhorn	看劇	初 5-3	คร
ถ้าไม่ขยัน ก็จะไม่มีเงิน	tha mai khayan ko cha mai mi ngoen	如果不勤勞，就會沒有錢	初 5-3	ขยัน
ขยันทำงาน	khayan thamngan	勤勞工作	初 5-3	ขยัน
ถ้าอยากหุ่นดี ต้องขยันออกกำลังกาย	tha yak hun di tong khayan ok kamlang kai	如果想要好身材，就要勤勞運動	初 5-3	ขยัน
ขยันทำการบ้าน	khayan tham kanban	努力做作業	初 5-3	ขยัน
การบ้านภาษาอังกฤษ	kanban phasa angkrit	英文作業	初 5-3	กฤษ
ตอนนี้สะดวกคุยไหม	torn ni saduak khui mai	現在你方便講話嗎？	初 5-3	ดวก
ตอนนี้ผมไม่สะดวก	torn ni phom mai saduak	現在我不方便	初 5-3	ดวก
คุณสะดวกตอนไหน	khun saduak torn nai	你何時方便？	初 5-3	ดวก
ไปไหนมาไหนสะดวก	pai nai ma nai saduak	去哪裡都方便	初 5-3	ดวก
ติดต่อสะดวก	tiktio saduak	聯絡方便	初 5-3	ดวก
เดี๋ยวนี้ติดต่อกันสะดวก	diao ni tiktio kan saduak	現在聯絡很方便	初 5-3	ดวก
ธรรมดา	thammada	普通 / 平常	初 5-3	ธรรม
คนธรรมดา	khon thammada	普通人	初 5-3	ธรรม
เรื่องธรรมดา	rueang thammada	平常的事	初 5-3	ธรรม
ผมเป็นแค่คนธรรมดา ไม่ใช่มหาเศรษฐี	phom pen khae khon thammada mai chai maha setthi	我只是個普通人，不是大富翁	初 5-3	ธรรม, มหา
วันธรรมดา	wan thammada	平日	初 5-3	ธรรม
เที่ยววันธรรมดา ทั้งถูก ทั้งคนน้อย	thiao wan thammada thang thuk thang khon noi	平日去玩，既便宜人又少	初 5-3	ธรรม
ปัญหาก็คือ ไม่มีเวลา วันธรรมดาต้องทำงาน	panha ko khue mai mi wela wan thammada tong thamngan	問題是平日要工作沒時間	初 5-3	ธรรม
สว่าง	sawang	亮	初 5-3	สว่าง
ฟ้าสว่างแล้ว ตื่นได้แล้ว	fa sawang laeo tuen dai laeo	天亮了，可以起床了	初 5-3	สว่าง
มือถือสว่างเกินไป	mue thue sawang koen pai	手機太亮了	初 5-3	สว่าง
มือถือสว่างไป	mue thue sawang pai	手機太亮了（省略語）	初 5-3	สว่าง
เธอตาสว่างหรือยัง	thoe ta sawang rue yang	妳看清事實（大開眼界）了嗎？	初 5-3	สว่าง
รู้สึกง่วงนอน	ru suek nguang non	感覺想睡覺	初 5-3	ง่วง
รู้สึกง่วง	ru suek nguang	感覺睏	初 5-3	ง่วง
รู้สึกงง	ru suek ngong	感到很糊塗	初 5-3	งง
แปลกจริงๆ	plaek jing jing	真的奇怪	初 5-3	จริง, ๆ
ขม	khom	苦	初 5-3	ขม
มะระขมแต่มีประโยชน์	ma ra khom tae mee pra yote	苦瓜很苦但是很有好處	初 5-3	ขม
メียดุ	mia du	老婆很兇	初 5-3	ีย, メ
ช่วงนี้อากาศแย่	chuang nee a kat yae	最近天氣很糟	初 5-3	ช่วง
นิสัยแย่จริงๆ	ni sai yae jing jing	個性真的變很糟	初 5-3	จริง, ๆ
รสชาติเป็นยังไงบ้าง	rot chaat pen yang ngai bang	口味如何呢	初 5-3	ชาติ, รส
รสชาติดี	rot chaat dee	口味很好	初 5-3	ชาติ, รส
รสชาติอร่อย	rot chaat a roy	味道很好吃	初 5-3	ชาติ, รส
ไม่มีรสชาติ	mai mee rot chaat	沒有味道	初 5-3	ชาติ, รส
รสชาติแย่มาก	rot chaat yae mak	味道很糟糕	初 5-3	ชาติ, รส
คุณชอบมาม่ารสอะไร	khun chop ma ma rot a rai	你喜歡什麼口味的泡麵	初 5-3	รส
มาม่ารสต้มยำ	ma ma rot tom yum	酸辣蝦湯口味泡麵	初 5-3	รส
มาม่ารสแกงเขียวหวาน	ma ma rot kaeng khiao wan	綠咖哩口味泡麵	初 5-3	รส
ช่วงนี้อากาศแย่	chuang nee a kat yae	最近天氣很糟	初 5-3	ช่วง
นิสัยแย่จริงๆ	ni sai yae jing jing	個性真的變很糟	初 5-3	จริง, ๆ
รสชาติเป็นยังไงบ้าง	rot chaat pen yang ngai bang	口味如何呢	初 5-3	ชาติ, รส
รสชาติดี	rot chaat dee	口味很好	初 5-3	ชาติ, รส
รสชาติอร่อย	rot chaat a roy	味道很好吃	初 5-3	ชาติ, รส
ไม่มีรสชาติ	mai mee rot chaat	沒有味道	初 5-3	ชาติ, รส
รสชาติแย่มาก	rot chaat yae mak	味道很糟糕	初 5-3	ชาติ, รส
คุณชอบมาม่ารสอะไร	khun chop ma ma rot a rai	你喜歡什麼口味的泡麵	初 5-3	รส
มาม่ารสต้มยำ	ma ma rot tom yum	酸辣蝦湯口味泡麵	初 5-3	รส
มาม่ารสแกงเขียวหวาน	ma ma rot kaeng khiao wan	綠咖哩口味泡麵	初 5-3	รส
รู้สึกง่วงนอน	ru suek nguang non	感覺想睡覺	初 5-3	ง่วง
รู้สึกง่วง	ru suek nguang	感覺睏	初 5-3	ง่วง
รู้สึกงง	ru suek ngong	感到很糊塗	初 5-3	งง
แปลกจริงๆ	plaek jing jing	真的奇怪	初 5-3	จริง, ๆ
三ทุ่มครึ่ง	sam thum khrueng	九點半	初 5-3	三
二ทุ่มครึ่ง	song thum khrueng	八點半	初 5-3	二
ขม	khom	苦	初 5-3	ขม
มะระขมแต่มีประโยชน์	ma ra khom tae mee pra yote	苦瓜很苦但是很有好處	初 5-3	ขม
โ動พ่อดุ	don phor du	被爸爸罵	初 5-3	โ, 動
ช่วงนี้อากาศแย่	chuang nee a kat yae	最近天氣很糟	初 5-3	ช่วง
นิสัยแย่จริงๆ	ni sai yae jing jing	個性真的變很糟	初 5-3	จริง, ๆ
รสชาติเป็นยังไงบ้าง	rot chaat pen yang ngai bang	口味如何呢	初 5-3	ชาติ, รส
รสชาติดี	rot chaat dee	口味很好	初 5-3	ชาติ, รส
รสชาติอร่อย	rot chaat a roy	味道很好吃	初 5-3	ชาติ, รส
ไม่มีรสชาติ	mai mee rot chaat	沒有味道	初 5-3	ชาติ, รส
รสชาติแย่มาก	rot chaat yae mak	味道很糟糕	初 5-3	ชาติ, รส
คุณชอบมาม่ารสอะไร	khun chop ma ma rot a rai	你喜歡什麼口味的泡麵	初 5-3	รส
มาม่ารสต้มยำ	ma ma rot tom yum	酸辣蝦湯口味泡麵	初 5-3	รส
มาม่ารสแกงเขียวหวาน	ma ma rot kaeng khiao wan	綠咖哩口味泡麵	初 5-3	รส
ช่วงนี้งานยุ่ง	chuang nee ngan yung	這陣子工作忙	初 5-3	ช่วง
ช่วงนี้ยุ่งไหม	chuang nee yung mai	這陣子忙嗎	初 5-3	ช่วง
ซื้อหวยพรุ่งนี้รวยแน่นอน	sue huai phrung nee ruai nae non	買彩券明天一定發財	初 5-3	หวย
บ้าหวย	ba huai	瘋樂透	初 5-3	หวย
รสชาติแปลกๆ	rot chat bplaek bplaek	味道怪怪的	初 5-4	ชาติ, รส
ช่วงนี้มีเรื่องแปลกๆ	chuang nee mee rueang bplaek bplaek	最近有奇怪的事情發生	初 5-4	ช่วง
ภรรยาเป็นโรคมะเร็ง	panyaya bpen rok ma reng	妻子得了癌症	初 5-4	ภรร
ขม	kom	苦	初 5-4	ขม
ของอะไรมีรสขม	kong arai mee rot kom	什麼東西有苦味？	初 5-4	ขม, รส
มะระมีรสขม	ma ra mee rot kom	苦瓜有苦味	初 5-4	ขม, รส
กาแฟมีรสขม	ga fae mee rot kom	咖啡有苦味	初 5-4	ขม, รส
ยาก็มีรสขม	ya gor mee rot kom	藥也有苦味	初 5-4	ขม, รส
เหม็นจริงๆ	men jing jing	真的臭	初 5-4	จริง, ๆ
ทุเรียนเหม็นจริงๆ	tu rian men jing jing	榴槤真的臭	初 5-4	จริง, ๆ
รสชาติเป็นยังไง	rot chat bpen yang ngai	味道怎麼樣	初 5-4	ชาติ, รส
รสชาติเฉยๆ	rot chat choey choey	味道普通（馬馬虎虎）	初 5-4	ชาติ, รส
รสชาติแย่มาก	rot chat yae maak	味道很糟	初 5-4	ชาติ, รส
รสช็อกโกแลต	rot chok go laet	巧克力口味	初 5-4	รส
ไอติมรสช็อกโกแลต	ai dtim rot chok go laet	巧克力口味冰淇淋	初 5-4	รส
ไอติมรสสตรอว์เบอร์รี	ai dtim rot sa dtor ber ree	草莓口味冰淇淋	初 5-4	รส, สต
มาม่ารสต้มยำกุ้ง	ma ma rot dtom yam goong	泰式酸辣蝦口味泡麵	初 5-4	รส
คนส่วนใหญ่กลัวอะไรที่สุด	kon suan yai glua arai tee soot	大多數人最怕什麼？	初 5-4	ส่วน
คนส่วนใหญ่กลัวอะไรมากที่สุด	kon suan yai glua arai maak tee soot	大多數人最怕什麼？（加強）	初 5-4	ส่วน
คนส่วนใหญ่กลัวผี	kon suan yai glua pee	大多數人怕鬼	初 5-4	ส่วน
คนส่วนใหญ่กลัวอ้วน	kon suan yai glua uan	大多數人怕胖	初 5-4	ส่วน, อ้วน
คนส่วนใหญ่กลัวไม่มีเงิน	kon suan yai glua mai mee ngen	大多數人怕沒錢	初 5-4	ส่วน
ช่วงนี้รู้สึกแย่มาก	chuang nee roo seuk yae maak	最近心情感到很糟	初 5-4	ช่วง
ช่วงนี้เป็นยังไง	chuang ni pen yang ngai	這陣子怎麼樣？	初 5-4	ช่วง
พรุ่งนี้ฝนจะตก เป็นไปได้หรือเป็นไปไม่ได้	phrung ni fon cha tok pen pai dai rue pen pai mai dai	明天會下雨，有可能還是不可能？	初 5-4	ฝน
ช่วงนี้เครียดมาก	chuang ni khriat mak	最近壓力很大喔	初 5-4	ช่วง
做หน้าไม่เข้าใจ	tam na mai khao chai	擺出一副不懂的樣子	初 5-4	做
做หน้าไม่รู้	tam na mai ru	擺出一副不知道的樣子	初 5-4	做
ช่วงนี้เครียดไหม	chuang ni khriat mai	你最近有壓力嗎？	初 5-4	ช่วง
ช่วงนี้เครียดไหมคะ	chuang ni khriat mai kha	最近有壓力嗎？（禮貌句尾）	初 5-4	ช่วง
สมน้ำหน้า	som nam na	活該	初 5-4	สม
เป็นลม	bpen lom	昏倒	初 5-4	ลม
เขาเป็นลม	kao bpen lom	他昏倒了	初 5-4	ลม
เคยเป็นลมไหม	koey bpen lom mai	你曾經昏倒過嗎？	初 5-4	ลม
ช่วงนี้มีคนเป็นหวัดเยอะ	chuang nee mee kon bpen wat yuh	最近有很多人感冒	初 5-4	ช่วง
เป็นห่วง	bpen huang	擔心	初 5-4	ห่วง
ฉันเป็นห่วงคุณนะ	chan bpen huang kun na	我很擔心你	初 5-4	ห่วง
ไม่ต้องเป็นห่วง	mai dtong bpen huang	不用擔心	初 5-4	ห่วง
เป็นคู่กันตั้งแต่ชาติที่แล้ว	bpen koo gan dtang dtae chat tee laew	前世就是一對夫妻	初 5-4	ชาติ
พวกเราเป็นกันเอง	puak rao bpen gan eng	我們很親切	初 5-4	พวก
บริษัทน่าเชื่อ	Bo ri sat na chuea	公司很可信	初 5-4	บริ
เรื่องนี้โอ้น่าอายจริงๆ	Rueang ni o na ai jing jing	這件事真的很丟臉	初 5-4	จริง, ๆ
น่าสนใจ	Na son chai	有趣/令人感興趣	初 5-4	สน
ฉันสนใจภาษาไทย	Chan son chai pha sa Thai	我對泰文感興趣	初 5-4	สน
ภาษาไทยน่าสนใจ	Pha sa Thai na son chai	泰文很有趣	初 5-4	สน
น่าเป็นห่วง	Na pen huang	令人擔心	初 5-4	ห่วง
อาการน่าเป็นห่วง	A kan na pen huang	症狀令人擔心	初 5-4	ห่วง
ฉลามน่ากลัว	Cha lam na klua	鯊魚很可怕	初 5-4	ฉลาม
น่าสงสาร	Na song san	可憐/令人同情	初 5-4	สง
สงสารฉันหน่อย	Song san chan noi	同情我一下	初 5-4	สง
แมวน่าสงสาร	Maew na song san	貓咪很可憐	初 5-4	สง
บ่น	bon	抱怨	初 5-4	บ่น
ขี้บ่น	khii bon	愛抱怨	初 5-4	บ่น
สงสัย	songsai	懷疑/好奇	初 5-4	สง
ขี้สงสัย	khii songsai	多疑	初 5-4	สง
พรุ่งนี้ฝนจะตกเป็นไปไม่ได้	Phrungni fon cha tok pen pai mai dai	明天下雨是不可能的	初 5-5	ฝน
เป็นลม	pen lom	昏倒	初 5-5	ลม
เพราะว่าร้อน ก็เลยเป็นลม	phrao wa ron ko loei pen lom	因為很熱，所以就昏倒了	初 5-5	ลม, เพราะ
ช่วยด้วย เพื่อนผมเป็นลม	chuai duai phuean phom pen lom	救命啊，我朋友昏倒了	初 5-5	ลม
ช่วยด้วยค่ะ เพื่อนผมเป็นลม	chuai duai kha phuean phom pen lom	救命啊，我朋友昏倒了 (女)	初 5-5	ลม
ฟังเธอบ่นทุกวัน ผมใกล้จะเป็นบ้าแล้ว	fang thoe bon thuk wan phom klai cha pen ba laeo	聽你抱怨每天，我快要發瘋了 (男)	初 5-5	บ่น
ฟังเธอบ่นทุกวัน ฉันใกล้จะเป็นบ้าแล้ว	fang thoe bon thuk wan chan klai cha pen ba laeo	聽你抱怨每天，我快要發瘋了 (女)	初 5-5	บ่น
เป็นห่วง	pen huang	擔心	初 5-5	ห่วง
ผมเป็นห่วงคุณนะ	phom pen huang khun na	我好擔心你喔	初 5-5	ห่วง
ไม่ต้องเป็นห่วงฉัน	mai tong pen huang chan	不用擔心我	初 5-5	ห่วง
ตั้งแต่ชาติที่แล้ว	tang tae chat thi laeo	從上輩子開始	初 5-5	ชาติ
พวกเขาเป็นคู่ตั้งแต่ชาติที่แล้ว	phuak khao pen khu tang tae chat thi laeo	他們從上輩子就是一對	初 5-5	ชาติ, พวก
พวกเขาเป็นคู่กันตั้งแต่ชาติที่แล้ว	phuak khao pen khu kan tang tae chat thi laeo	他們（彼此）從上輩子就是一對	初 5-5	ชาติ, พวก
พวกเราเป็นคนกันเองไม่ต้องเกรงใจ	phuak rao pen khon kan eng mai tong kreng chai	我們是自己人，不用客氣	初 5-5	พวก
รสชาติอร่อยเป็นพิเศษ	rotchat aroi pen phi set	味道特別好吃	初 5-5	ชาติ, รส
วันนี้ง่วงเป็นพิเศษ	วันนี้ง่วงเป็นพิเศษ	今天特別想睡覺	初 5-5	ง่วง
หึงตลอดเวลา	Hung talord wela	隨時都在吃醋	初 5-5	ตลอด
ขี้สงสัย	Kee Songsay	愛好奇/懷疑	初 5-5	สง
ผมสงสัยจังทำไมแท็กซี่เมืองไทยมีหลายสี	Phom songsay jang thammai taxi mueang Thai mee lai si	我很好奇為什麼泰國計程車有這麼多顏色	初 5-5	สง
คุณสงสัยไหมมันต่างกันยังไง	Khun songsay mai man tang kan yang ngai	你好奇嗎？它有什麼不同？	初 5-5	สง
ขี้เมาตกเครื่องสมน้ำหน้า	Kee mao tok khrueang som nam na	酒鬼趕不上飛機，活該	初 5-5	สม
做หน้าซีเรียสมาก	Tham na serious mak	臉看起來很認真	初 5-5	做
ช่วงนี้เครียดมากก็เลยนอนไม่หลับ	Chuang nee kried mak kor loei norn mai lub	最近壓力很大所以睡不著	初 5-5	ช่วง
มีอะไรสงสัยไหมคะ	Mee arai songsay mai ka	有什麼疑問嗎	初 5-5	สง
ช่วงนี้อากาศเป็นอย่างไร	chuang ni akat pen yang rai	最近天氣如何？	初 5-5	ช่วง
อุณหภูมิ	un ha phum	氣溫	初 5-5	ภูมิ, อุณห
องศา	ong sa	度	初 5-5	อง
วันนี้อุณหภูมิ กี่องศา	wan ni un ha phum ki ong sa	今天氣溫幾度？	初 5-5	ภูมิ, อง, อุณห
25 องศา	yi sip ha ong sa	25度	初 5-5	อง
90 องศา	kao sip ong sa	90度	初 5-5	อง
อบขนมปัง ใช้อุณหภูมิ กี่องศา	op kha nom pang chai un ha phum ki ong sa	烤麵包用幾度氣溫？	初 5-5	ภูมิ, อง, อุณห
ในเมืองไทย ปีหนึ่ง มี 3 ฤดู	nai mueang thai pi nueng mi sam rue du	在泰國一年有三個季節	初 5-5	ฤดู
ฤดู	rue du	季節	初 5-5	ฤดู
ฤดูร้อน	rue du ron	夏季	初 5-5	ฤดู
ฤดูฝน	rue du fon	雨季	初 5-5	ฝน, ฤดู
ฤดูหนาว	rue du nao	冬季	初 5-5	ฤดู
ฤดูร้อน อากาศที่ไทเป อบอ้าว	rue du ron akat thi thai pe op ao	夏季台北的天氣悶熱	初 5-5	ฤดู
ฤดูหนาว อากาศที่ไทเป หนาวชื้น	rue du nao akat thi thai pe nao chuen	冬季台北的天氣濕冷	初 5-5	ฤดู
ที่ไต้หวัน ไม่มี ฤดูฝน	thi tai wan mai mi rue du fon	在台灣沒有雨季	初 5-5	ฝน, ฤดู
ฝนตกทั้งปี	fon tok thang pi	全年下雨	初 5-5	ฝน
หน้าฝน	na fon	雨季（口語）	初 5-5	ฝน
ฤดูใบไม้ผลิ	rue du bai mai phli	春季	初 5-5	ฤดู
ฤดูใบไม้ร่วง	rue du bai mai ruang	秋季	初 5-5	ร่วง, ฤดู
ร่วง	ruang	掉落	初 5-5	ร่วง
ผมร่วง	phom ruang	掉頭髮	初 5-5	ร่วง
ฤดูทุเรียน	rue du thu rian	榴槤季	初 5-5	ฤดู
ช่วงนี้เป็นหน้าทุเรียน	chuang ni pen na thu rian	最近是榴槤季	初 5-5	ช่วง
หน้าสับปะรด	na sap pa rot	鳳梨季	初 5-5	รด
ช่วงนี้อากาศเป็นอย่างไร	chuang ni akat pen yang rai	最近天氣如何？	初 5-5	ช่วง
อุณหภูมิ	un ha phum	氣溫	初 5-5	ภูมิ, อุณห
องศา	ong sa	度	初 5-5	อง
วันนี้อุณหภูมิ กี่องศา	wan ni un ha phum ki ong sa	今天氣溫幾度？	初 5-5	ภูมิ, อง, อุณห
25 องศา	yi sip ha ong sa	25度	初 5-5	อง
90 องศา	kao sip ong sa	90度	初 5-5	อง
อบขนมปัง ใช้อุณหภูมิ กี่องศา	op kha nom pang chai un ha phum ki ong sa	烤麵包用幾度氣溫？	初 5-5	ภูมิ, อง, อุณห
ในเมืองไทย ปีหนึ่ง มี 3 ฤดู	nai mueang thai pi nueng mi sam rue du	在泰國一年有三個季節	初 5-5	ฤดู
