泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
รสชาติดี	rot chaat dee	rot~ chātˋ dhī	口味很好	derived	
รสชาติอร่อย	rot chaat a roy	rot~ chātˋ aˇ rɔ̄iˋ	味道很好吃	derived	
ไม่มีรสชาติ	mai mee rot chaat	maiˋ mī rot~ chātˋ	沒有味道	derived	
รสชาติแย่มาก	rot chaat yae mak	rot~ chātˋ yɛ̄ˋ mākˋ	味道很糟糕	derived	
คุณชอบมาม่ารสอะไร	khun chop ma ma rot a rai	kun chɔ̄pˋ mā māˋ rot~ aˇ rai	你喜歡什麼口味的泡麵	derived	
มาม่ารสต้มยำ	ma ma rot tom yum	mā māˋ rot~ domˋ yam	酸辣蝦湯口味泡麵	derived	
มาม่ารสแกงเขียวหวาน	ma ma rot kaeng khiao wan	mā māˋ rot~ gɛ̄ng kīauˊ wānˊ	綠咖哩口味泡麵	derived	
รู้สึกง่วงนอน	ru suek nguang non	rū~ sɯkˇ ngūangˋ nɔ̄n	感覺想睡覺	engine-auto	
รู้สึกง่วง	ru suek nguang	rū~ sɯkˇ ngūangˋ	感覺睏	engine-auto	
รู้สึกงง	ru suek ngong	rū~ sɯkˇ ngong	感到很糊塗	derived	
แปลกจริงๆ	plaek jing jing	blɛ̄kˇ jing jing	真的奇怪	derived	
三ทุ่มครึ่ง	sam thum khrueng	三 tumˋ krɯngˋ	九點半	engine-auto	
二ทุ่มครึ่ง	song thum khrueng	二 tumˋ krɯngˋ	八點半	engine-auto	
ขม	khom	komˊ	苦	derived	
มะระขมแต่มีประโยชน์	ma ra khom tae mee pra yote	ma~ ra~ komˊ dɛ̄ˇ mī braˇ yōtˋ	苦瓜很苦但是很有好處	derived	
ช่วงนี้อากาศแย่	chuang nee a kat yae	chūangˋ nī~ ā gātˇ yɛ̄ˋ	最近天氣很糟	engine-auto	
นิสัยแย่จริงๆ	ni sai yae jing jing	ni~ saiˊ yɛ̄ˋ jing jing	個性真的變很糟	derived	
รสชาติเป็นยังไงบ้าง	rot chaat pen yang ngai bang	rot~ chātˋ ben yang ngai bhāngˋ	口味如何呢	derived	
รสชาติดี	rot chaat dee	rot~ chātˋ dhī	口味很好	derived	
รสชาติอร่อย	rot chaat a roy	rot~ chātˋ aˇ rɔ̄iˋ	味道很好吃	derived	
ไม่มีรสชาติ	mai mee rot chaat	maiˋ mī rot~ chātˋ	沒有味道	derived	
รสชาติแย่มาก	rot chaat yae mak	rot~ chātˋ yɛ̄ˋ mākˋ	味道很糟糕	derived	
คุณชอบมาม่ารสอะไร	khun chop ma ma rot a rai	kun chɔ̄pˋ mā māˋ rot~ aˇ rai	你喜歡什麼口味的泡麵	derived	
มาม่ารสต้มยำ	ma ma rot tom yum	mā māˋ rot~ domˋ yam	酸辣蝦湯口味泡麵	derived	
มาม่ารสแกงเขียวหวาน	ma ma rot kaeng khiao wan	mā māˋ rot~ gɛ̄ng kīauˊ wānˊ	綠咖哩口味泡麵	derived	
ช่วงนี้งานยุ่ง	chuang nee ngan yung	chūangˋ nī~ ngān yungˋ	這陣子工作忙	engine-auto	
ช่วงนี้ยุ่งไหม	chuang nee yung mai	chūangˋ nī~ yungˋ maiˊ	這陣子忙嗎	engine-auto	
ซื้อหวยพรุ่งนี้รวยแน่นอน	sue huai phrung nee ruai nae non	sɯ̄~ hūayˊ prungˋ nī~ rūay nɛ̄ˋ nɔ̄n	買彩券明天一定發財	derived	
บ้าหวย	ba huai	bhāˋ hūayˊ	瘋樂透	derived	
รสชาติแปลกๆ	rot chat bplaek bplaek	rot~ chātˋ blɛ̄kˇ blɛ̄kˇ	味道怪怪的	derived	
ช่วงนี้มีเรื่องแปลกๆ	chuang nee mee rueang bplaek bplaek	chūangˋ nī~ mī rɯ̄angˋ blɛ̄kˇ blɛ̄kˇ	最近有奇怪的事情發生	engine-auto	
ภรรยาเป็นโรคมะเร็ง	panyaya bpen rok ma reng	pan yā ben rōkˋ ma~ reng	妻子得了癌症	derived	
ขม	kom	komˊ	苦	derived	
ของอะไรมีรสขม	kong arai mee rot kom	kɔ̄ngˊ aˇ rai mī rot~ komˊ	什麼東西有苦味？	derived	
มะระมีรสขม	ma ra mee rot kom	ma~ ra~ mī rot~ komˊ	苦瓜有苦味	derived	
กาแฟมีรสขม	ga fae mee rot kom	gā fɛ̄ mī rot~ komˊ	咖啡有苦味	derived	
ยาก็มีรสขม	ya gor mee rot kom	yā gɔ̄ˋ mī rot~ komˊ	藥也有苦味	derived	
เหม็นจริงๆ	men jing jing	menˊ jing jing	真的臭	derived	
ทุเรียนเหม็นจริงๆ	tu rian men jing jing	tu~ rīan menˊ jing jing	榴槤真的臭	derived	
รสชาติเป็นยังไง	rot chat bpen yang ngai	rot~ chātˋ ben yang ngai	味道怎麼樣	derived	
รสชาติเฉยๆ	rot chat choey choey	rot~ chātˋ chə̄iˊ chə̄iˊ	味道普通（馬馬虎虎）	derived	
รสชาติแย่มาก	rot chat yae maak	rot~ chātˋ yɛ̄ˋ mākˋ	味道很糟	derived	
รสช็อกโกแลต	rot chok go laet	rot~ chɔ̄kˋ gō lɛ̄tˋ	巧克力口味	derived	
ไอติมรสช็อกโกแลต	ai dtim rot chok go laet	ai dim rot~ chɔ̄kˋ gō lɛ̄tˋ	巧克力口味冰淇淋	derived	
ไอติมรสสตรอว์เบอร์รี	ai dtim rot sa dtor ber ree	ai dim rot~ saˇ rɔ̄ bhə̄ rī	草莓口味冰淇淋	derived	
มาม่ารสต้มยำกุ้ง	ma ma rot dtom yam goong	mā māˋ rot~ domˋ yam gungˋ	泰式酸辣蝦口味泡麵	derived	
คนส่วนใหญ่กลัวอะไรที่สุด	kon suan yai glua arai tee soot	kon sūanˇ yaiˇ glūa aˇ rai tīˋ sutˇ	大多數人最怕什麼？	engine-auto	
คนส่วนใหญ่กลัวอะไรมากที่สุด	kon suan yai glua arai maak tee soot	kon sūanˇ yaiˇ glūa aˇ rai mākˋ tīˋ sutˇ	大多數人最怕什麼？（加強）	engine-auto	
คนส่วนใหญ่กลัวผี	kon suan yai glua pee	kon sūanˇ yaiˇ glūa pīˊ	大多數人怕鬼	engine-auto	
คนส่วนใหญ่กลัวอ้วน	kon suan yai glua uan	kon sūanˇ yaiˇ glūa ūanˋ	大多數人怕胖	engine-auto	
คนส่วนใหญ่กลัวไม่มีเงิน	kon suan yai glua mai mee ngen	kon sūanˇ yaiˇ glūa maiˋ mī ngə̄n	大多數人怕沒錢	engine-auto	
ช่วงนี้รู้สึกแย่มาก	chuang nee roo seuk yae maak	chūangˋ nī~ rū~ sɯkˇ yɛ̄ˋ mākˋ	最近心情感到很糟	engine-auto	
ช่วงนี้เป็นยังไง	chuang ni pen yang ngai	chūangˋ nī~ ben yang ngai	這陣子怎麼樣？	engine-auto	
พรุ่งนี้ฝนจะตก เป็นไปได้หรือเป็นไปไม่ได้	phrung ni fon cha tok pen pai dai rue pen pai mai dai	prungˋ nī~ fonˊ jaˇ dokˇ ben bai dhaiˋ rɯ̄ˊ ben bai maiˋ dhaiˋ	明天會下雨，有可能還是不可能？	derived	
ช่วงนี้เครียดมาก	chuang ni khriat mak	chūangˋ nī~ krīatˋ mākˋ	最近壓力很大喔	engine-auto	
做หน้าไม่เข้าใจ	tam na mai khao chai	做 nāˋ maiˋ kāuˋ jai	擺出一副不懂的樣子	engine-auto	
做หน้าไม่รู้	tam na mai ru	做 nāˋ maiˋ rū~	擺出一副不知道的樣子	engine-auto	
ช่วงนี้เครียดไหม	chuang ni khriat mai	chūangˋ nī~ krīatˋ maiˊ	你最近有壓力嗎？	engine-auto	
ช่วงนี้เครียดไหมคะ	chuang ni khriat mai kha	chūangˋ nī~ krīatˋ maiˊ ka~	最近有壓力嗎？（禮貌句尾）	engine-auto	
สมน้ำหน้า	som nam na	somˊ nām~ nāˋ	活該	derived	
เป็นลม	bpen lom	ben lom	昏倒	derived	
เขาเป็นลม	kao bpen lom	kāuˊ ben lom	他昏倒了	derived	
เคยเป็นลมไหม	koey bpen lom mai	kə̄i ben lom maiˊ	你曾經昏倒過嗎？	derived	
ช่วงนี้มีคนเป็นหวัดเยอะ	chuang nee mee kon bpen wat yuh	chūangˋ nī~ mī kon ben watˇ yə~	最近有很多人感冒	engine-auto	
เป็นห่วง	bpen huang	ben hūangˇ	擔心	derived	
ฉันเป็นห่วงคุณนะ	chan bpen huang kun na	chanˊ ben hūangˇ kun na~	我很擔心你	derived	
ไม่ต้องเป็นห่วง	mai dtong bpen huang	maiˋ dɔ̄ngˋ ben hūangˇ	不用擔心	derived	
เป็นคู่กันตั้งแต่ชาติที่แล้ว	bpen koo gan dtang dtae chat tee laew	ben kūˋ gan dangˋ dɛ̄ˇ chātˋ tīˋ lɛ̄u~	前世就是一對夫妻	derived	
พวกเราเป็นกันเอง	puak rao bpen gan eng	pūakˋ rāu ben gan ēng	我們很親切	engine-auto	
บริษัทน่าเชื่อ	Bo ri sat na chuea	bhɔ̄ ri~ satˇ nāˋ chɯ̄aˋ	公司很可信	derived	
เรื่องนี้โอ้น่าอายจริงๆ	Rueang ni o na ai jing jing	rɯ̄angˋ nī~ ōˋ nāˋ āi jing jing	這件事真的很丟臉	derived	
น่าสนใจ	Na son chai	nāˋ sonˊ jai	有趣/令人感興趣	derived	
ฉันสนใจภาษาไทย	Chan son chai pha sa Thai	chanˊ sonˊ jai pā sāˊ tai	我對泰文感興趣	derived	
ภาษาไทยน่าสนใจ	Pha sa Thai na son chai	pā sāˊ tai nāˋ sonˊ jai	泰文很有趣	derived	
น่าเป็นห่วง	Na pen huang	nāˋ ben hūangˇ	令人擔心	derived	
อาการน่าเป็นห่วง	A kan na pen huang	ā gān nāˋ ben hūangˇ	症狀令人擔心	derived	
ฉลามน่ากลัว	Cha lam na klua	chaˇ lāˊ nāˋ glūa	鯊魚很可怕	derived	
น่าสงสาร	Na song san	nāˋ songˊ sānˊ	可憐/令人同情	derived	
สงสารฉันหน่อย	Song san chan noi	songˊ sānˊ chanˊ nɔ̄iˇ	同情我一下	derived	
แมวน่าสงสาร	Maew na song san	mɛ̄u nāˋ songˊ sānˊ	貓咪很可憐	derived	
บ่น	bon	bhonˇ	抱怨	derived	
ขี้บ่น	khii bon	kīˋ bhonˇ	愛抱怨	derived	
สงสัย	songsai	songˊ saiˊ	懷疑/好奇	derived	
ขี้สงสัย	khii songsai	kīˋ songˊ saiˊ	多疑	derived	
พรุ่งนี้ฝนจะตกเป็นไปไม่ได้	Phrungni fon cha tok pen pai mai dai	prungˋ nī~ fonˊ jaˇ dokˇ ben bai maiˋ dhaiˋ	明天下雨是不可能的	derived	
เป็นลม	pen lom	ben lom	昏倒	derived	
เพราะว่าร้อน ก็เลยเป็นลม	phrao wa ron ko loei pen lom	prɔ~ wāˋ rɔ̄n~ gɔ̄ˋ lə̄i ben lom	因為很熱，所以就昏倒了	derived	
ช่วยด้วย เพื่อนผมเป็นลม	chuai duai phuean phom pen lom	chūayˋ dhūayˋ pɯ̄anˋ pomˊ ben lom	救命啊，我朋友昏倒了	derived	
ช่วยด้วยค่ะ เพื่อนผมเป็นลม	chuai duai kha phuean phom pen lom	chūayˋ dhūayˋ kaˋ pɯ̄anˋ pomˊ ben lom	救命啊，我朋友昏倒了 (女)	derived	
ฟังเธอบ่นทุกวัน ผมใกล้จะเป็นบ้าแล้ว	fang thoe bon thuk wan phom klai cha pen ba laeo	fang tə̄ bhonˇ tuk~ wan pomˊ glaiˋ jaˇ ben bhāˋ lɛ̄u~	聽你抱怨每天，我快要發瘋了 (男)	derived	
ฟังเธอบ่นทุกวัน ฉันใกล้จะเป็นบ้าแล้ว	fang thoe bon thuk wan chan klai cha pen ba laeo	fang tə̄ bhonˇ tuk~ wan chanˊ glaiˋ jaˇ ben bhāˋ lɛ̄u~	聽你抱怨每天，我快要發瘋了 (女)	derived	
เป็นห่วง	pen huang	ben hūangˇ	擔心	derived	
ผมเป็นห่วงคุณนะ	phom pen huang khun na	pomˊ ben hūangˇ kun na~	我好擔心你喔	derived	
ไม่ต้องเป็นห่วงฉัน	mai tong pen huang chan	maiˋ dɔ̄ngˋ ben hūangˇ chanˊ	不用擔心我	derived	
ตั้งแต่ชาติที่แล้ว	tang tae chat thi laeo	dangˋ dɛ̄ˇ chātˋ tīˋ lɛ̄u~	從上輩子開始	derived	
พวกเขาเป็นคู่ตั้งแต่ชาติที่แล้ว	phuak khao pen khu tang tae chat thi laeo	pūakˋ kāuˊ ben kūˋ dangˋ dɛ̄ˇ chātˋ tīˋ lɛ̄u~	他們從上輩子就是一對	derived	
พวกเขาเป็นคู่กันตั้งแต่ชาติที่แล้ว	phuak khao pen khu kan tang tae chat thi laeo	pūakˋ kāuˊ ben kūˋ gan dangˋ dɛ̄ˇ chātˋ tīˋ lɛ̄u~	他們（彼此）從上輩子就是一對	derived	
พวกเราเป็นคนกันเองไม่ต้องเกรงใจ	phuak rao pen khon kan eng mai tong kreng chai	pūakˋ rāu ben kon gan ēng maiˋ dɔ̄ngˋ grēng jai	我們是自己人，不用客氣	engine-auto	
รสชาติอร่อยเป็นพิเศษ	rotchat aroi pen phi set	rot~ chātˋ aˇ rɔ̄iˋ ben pi~ sētˇ	味道特別好吃	derived	
วันนี้ง่วงเป็นพิเศษ	วันนี้ง่วงเป็นพิเศษ	wan nī~ ngūangˋ ben pi~ sētˇ	今天特別想睡覺	engine-auto	
หึงตลอดเวลา	Hung talord wela	hɯngˊ daˇ lɔ̄tˋ wē lā	隨時都在吃醋	derived	
ขี้สงสัย	Kee Songsay	kīˋ songˊ saiˊ	愛好奇/懷疑	derived	
ผมสงสัยจังทำไมแท็กซี่เมืองไทยมีหลายสี	Phom songsay jang thammai taxi mueang Thai mee lai si	pomˊ songˊ saiˊ jang tam mai tɛk~ sīˋ mɯ̄ang tai mī lāiˊ sīˊ	我很好奇為什麼泰國計程車有這麼多顏色	derived	
คุณสงสัยไหมมันต่างกันยังไง	Khun songsay mai man tang kan yang ngai	kun songˊ saiˊ maiˊ man dāngˇ gan yang ngai	你好奇嗎？它有什麼不同？	derived	
ขี้เมาตกเครื่องสมน้ำหน้า	Kee mao tok khrueang som nam na	kīˋ māu dokˇ krɯ̄angˋ somˊ nām~ nāˋ	酒鬼趕不上飛機，活該	derived	
做หน้าซีเรียสมาก	Tham na serious mak	做 nāˋ sī rīatˋ mākˋ	臉看起來很認真	engine-auto	
ช่วงนี้เครียดมากก็เลยนอนไม่หลับ	Chuang nee kried mak kor loei norn mai lub	chūangˋ nī~ krīatˋ mākˋ gɔ̄ˋ lə̄i nɔ̄n maiˋ lapˇ	最近壓力很大所以睡不著	engine-auto	
มีอะไรสงสัยไหมคะ	Mee arai songsay mai ka	mī aˇ rai songˊ saiˊ maiˊ ka~	有什麼疑問嗎	derived	
ช่วงนี้อากาศเป็นอย่างไร	chuang ni akat pen yang rai	chūangˋ nī~ ā gātˇ ben yāngˋ rai	最近天氣如何？	engine-auto	
อุณหภูมิ	un ha phum	uˇ na~ pūm	氣溫	derived	
องศา	ong sa	ong sāˊ	度	derived	
วันนี้อุณหภูมิ กี่องศา	wan ni un ha phum ki ong sa	wan nī~ uˇ na~ pūm gīˇ ong sāˊ	今天氣溫幾度？	derived	
25 องศา	yi sip ha ong sa	25 ong sāˊ	25度	derived	
90 องศา	kao sip ong sa	90 ong sāˊ	90度	derived	
อบขนมปัง ใช้อุณหภูมิ กี่องศา	op kha nom pang chai un ha phum ki ong sa	opˇ kaˇ nom bang chai~ uˇ na~ pūm gīˇ ong sāˊ	烤麵包用幾度氣溫？	derived	
ในเมืองไทย ปีหนึ่ง มี 3 ฤดู	nai mueang thai pi nueng mi sam rue du	nai mɯ̄ang tai bī nɯngˇ mī 3 rɯ dhū	在泰國一年有三個季節	derived	
ฤดู	rue du	rɯ dhū	季節	derived	
ฤดูร้อน	rue du ron	rɯ dhū rɔ̄n~	夏季	derived	
ฤดูฝน	rue du fon	rɯ dhū fonˊ	雨季	derived	
ฤดูหนาว	rue du nao	rɯ dhū nāuˊ	冬季	derived	
ฤดูร้อน อากาศที่ไทเป อบอ้าว	rue du ron akat thi thai pe op ao	rɯ dhū rɔ̄n~ ā gātˇ tīˋ tai bē opˇ āuˋ	夏季台北的天氣悶熱	derived	
ฤดูหนาว อากาศที่ไทเป หนาวชื้น	rue du nao akat thi thai pe nao chuen	rɯ dhū nāuˊ ā gātˇ tīˋ tai bē nāuˊ chɯ̄n~	冬季台北的天氣濕冷	derived	
ที่ไต้หวัน ไม่มี ฤดูฝน	thi tai wan mai mi rue du fon	tīˋ daiˋ wanˊ maiˋ mī rɯ dhū fonˊ	在台灣沒有雨季	derived	
ฝนตกทั้งปี	fon tok thang pi	fonˊ dokˇ tang~ bī	全年下雨	derived	
หน้าฝน	na fon	nāˋ fonˊ	雨季（口語）	derived	
ฤดูใบไม้ผลิ	rue du bai mai phli	rɯ dhū bhai mai~ pliˇ	春季	derived	
ฤดูใบไม้ร่วง	rue du bai mai ruang	rɯ dhū bhai mai~ rūangˋ	秋季	derived	
ร่วง	ruang	rūangˋ	掉落	engine-auto	
ผมร่วง	phom ruang	pomˊ rūangˋ	掉頭髮	engine-auto	
ฤดูทุเรียน	rue du thu rian	rɯ dhū tu~ rīan	榴槤季	derived	
ช่วงนี้เป็นหน้าทุเรียน	chuang ni pen na thu rian	chūangˋ nī~ ben nāˋ tu~ rīan	最近是榴槤季	engine-auto	
หน้าสับปะรด	na sap pa rot	nāˋ sapˇ baˇ rot~	鳳梨季	derived	
ช่วงนี้อากาศเป็นอย่างไร	chuang ni akat pen yang rai	chūangˋ nī~ ā gātˇ ben yāngˋ rai	最近天氣如何？	engine-auto	
อุณหภูมิ	un ha phum	uˇ na~ pūm	氣溫	derived	
องศา	ong sa	ong sāˊ	度	derived	
วันนี้อุณหภูมิ กี่องศา	wan ni un ha phum ki ong sa	wan nī~ uˇ na~ pūm gīˇ ong sāˊ	今天氣溫幾度？	derived	
25 องศา	yi sip ha ong sa	25 ong sāˊ	25度	derived	
90 องศา	kao sip ong sa	90 ong sāˊ	90度	derived	
อบขนมปัง ใช้อุณหภูมิ กี่องศา	op kha nom pang chai un ha phum ki ong sa	opˇ kaˇ nom bang chai~ uˇ na~ pūm gīˇ ong sāˊ	烤麵包用幾度氣溫？	derived	
ในเมืองไทย ปีหนึ่ง มี 3 ฤดู	nai mueang thai pi nueng mi sam rue du	nai mɯ̄ang tai bī nɯngˇ mī 3 rɯ dhū	在泰國一年有三個季節	derived	
ฤดู	rue du	rɯ dhū	季節	derived	
ฤดูร้อน	rue du ron	rɯ dhū rɔ̄n~	夏季	derived	
ฤดูฝน	rue du fon	rɯ dhū fonˊ	雨季	derived	
ฤดูหนาว	rue du nao	rɯ dhū nāuˊ	冬季	derived	
ฤดูร้อน อากาศที่ไทเป อบอ้าว	rue du ron akat thi thai pe op ao	rɯ dhū rɔ̄n~ ā gātˇ tīˋ tai bē opˇ āuˋ	夏季台北的天氣悶熱	derived	
ฤดูหนาว อากาศที่ไทเป หนาวชื้น	rue du nao akat thi thai pe nao chuen	rɯ dhū nāuˊ ā gātˇ tīˋ tai bē nāuˊ chɯ̄n~	冬季台北的天氣濕冷	derived	
ที่ไต้หวัน ไม่มี ฤดูฝน	thi tai wan mai mi rue du fon	tīˋ daiˋ wanˊ maiˋ mī rɯ dhū fonˊ	在台灣沒有雨季	derived	
ฝนตกทั้งปี	fon tok thang pi	fonˊ dokˇ tang~ bī	全年下雨	derived	
หน้าฝน	na fon	nāˋ fonˊ	雨季（口語）	derived	
ฤดูใบไม้ผลิ	rue du bai mai phli	rɯ dhū bhai mai~ pliˇ	春季	derived	
ฤดูใบไม้ร่วง	rue du bai mai ruang	rɯ dhū bhai mai~ rūangˋ	秋季	derived	
ร่วง	ruang	rūangˋ	掉落	engine-auto	
ผมร่วง	phom ruang	pomˊ rūangˋ	掉頭髮	engine-auto	
ฤดูทุเรียน	rue du thu rian	rɯ dhū tu~ rīan	榴槤季	derived	
ช่วงนี้เป็นหน้าทุเรียน	chuang ni pen na thu rian	chūangˋ nī~ ben nāˋ tu~ rīan	最近是榴槤季	engine-auto	
หน้าสับปะรด	na sap pa rot	nāˋ sapˇ baˇ rot~	鳳梨季	derived	
น้ำท่วมบ่อย	nam thuam boy	nām~ tūamˋ bhɔ̄iˇ	經常淹水	engine-auto	
น้ำท่วมหนัก	nam thuam nak	nām~ tūamˋ nakˇ	淹大水	engine-auto	
น้ำท่วม	nam thuam	nām~ tūamˋ	淹水	engine-auto	
ตากลม	tak lom	dā glom	吹風	derived	
ตากฝน	tak fon	dākˇ fonˊ	淋雨	derived	
วันจันทร์	wan chan	wan jan	星期一	derived	
พระจันทร์เต็มดวง	phra chan tem duang	pra~ jan dem dhūang	滿月	derived	
ดวง	duang	dhūang	顆 (量詞)	engine-auto	
ดวงดาว	duang dao	dhūang dhāu	星星	engine-auto	
ดวงขึ้น	duang khuen	dhūang kɯnˋ	走好運/運勢上升	engine-auto	
ดวงตก	duang tok	dhūang dokˇ	走霉運/運勢下降	engine-auto	
ดูดวง	du duang	dhū dhūang	算命 (看運勢)	engine-auto	
เสื้อกันฝน	suea kan fon	sɯ̄aˋ gan fonˊ	雨衣	derived	
ร่มกันแดด	rom kan daet	romˋ gan dhɛ̄tˇ	陽傘	derived	
ร่มกันฝน	rom kan fon	romˋ gan fonˊ	雨傘	derived	
ร่ม	rom	romˋ	傘	derived	
หมวกกันน็อก	muak kan nok	mūakˇ gan nɔ̄kˋ	安全帽	engine-auto	
หมวก	muak	mūakˇ	帽子	engine-auto	
ใส่หมวก	sai muak	saiˇ mūakˇ	戴帽子	engine-auto	
ถอดหมวก	thot muak	tɔ̄tˇ mūakˇ	脫帽子	engine-auto	
อุณหภูมิ	unaphum	uˇ na~ pūm	溫度	derived	
พรุ่งนี้อุณหภูมิเท่าไหร่	phrung ni unaphum thao rai	prungˋ nī~ uˇ na~ pūm tāuˋ raiˇ	明天溫度幾度	derived	
พรุ่งนี้อุณหภูมิจะสูงขึ้น	phrung ni unaphum cha sung khuen	prungˋ nī~ uˇ na~ pūm jaˇ sūngˊ kɯnˋ	明天溫度會升高	derived	
องศา	ongsa	ong sāˊ	度（溫度單位）	derived	
ภาคเหนืออุณหภูมิกี่องศา	phak nuea unaphum ki ongsa	pākˋ nɯ̄aˊ uˇ na~ pūm gīˇ ong sāˊ	北部溫度幾度	derived	
ภาคเหนืออุณหภูมิสามสิบสามองศา	phak nuea unaphum sam sip sam ongsa	pākˋ nɯ̄aˊ uˇ na~ pūm sāmˊ sipˇ sāmˊ ong sāˊ	北部溫度三十三度	derived	
อบขนมปังใช้กี่องศา	op khanom pang chai ki ongsa	opˇ kaˇ nom bang chai~ gīˇ ong sāˊ	烤麵包要用幾度	derived	
ใช้สองร้อยองศา	chai song roi ongsa	chai~ sɔ̄ngˊ rɔ̄i~ ong sāˊ	用兩百度	derived	
ฤดู	ruedu	rɯ dhū	季節	derived	
ฤดูร้อน	ruedu ron	rɯ dhū rɔ̄n~	夏季	derived	
ฤดูร้อนบางจังหวัดร้อนมากๆ	ruedu ron bang changwat ron mak mak	rɯ dhū rɔ̄n~ bhāng jang watˇ rɔ̄n~ mākˋ mākˋ	夏天有些府非常熱	derived	
ฤดูร้อนอุณหภูมิสูงถึงสี่สิบองศา	ruedu ron unaphum sung thueng si sip ongsa	rɯ dhū rɔ̄n~ uˇ na~ pūm sūngˊ tɯngˊ sīˇ sipˇ ong sāˊ	夏天溫度高達四十度	derived	
ฤดูฝน	ruedu fon	rɯ dhū fonˊ	雨季	derived	
เดือนห้าถึงเดือนสิบเป็นฤดูฝน	duean ha thueng duean sip pen ruedu fon	dhɯ̄an hāˋ tɯngˊ dhɯ̄an sipˇ ben rɯ dhū fonˊ	五月到十月是雨季	derived	
ฤดูหนาว	ruedu nao	rɯ dhū nāuˊ	冬季	derived	
ฤดูหนาวปีนี้	ruedu nao pi ni	rɯ dhū nāuˊ bī nī~	今年的冬天	derived	
ฤดูหนาวปีนี้ที่ยุโรปหิมะตกหนัก	ruedu nao pi ni thi yurop hima tok nak	rɯ dhū nāuˊ bī nī~ tīˋ yu~ rōpˋ hiˇ ma~ dokˇ nakˇ	今年冬天在歐洲雪下得很大	derived	
ฤดูใบไม้ผลิ	ruedu bai mai phli	rɯ dhū bhai mai~ pliˇ	春季	derived	
ฤดูใบไม้ผลิอากาศเย็นสบาย	ruedu bai mai phli akat yen sabai	rɯ dhū bhai mai~ pliˇ ā gātˇ yen saˇ bhāi	春天天氣涼爽	derived	
ฤดูใบไม้ร่วง	ruedu bai mai ruang	rɯ dhū bhai mai~ rūangˋ	秋季	derived	
ฤดูใบไม้ร่วงหลายที่ใบไม้จะเปลี่ยนสี	ruedu bai mai ruang lai thi bai mai cha plian si	rɯ dhū bhai mai~ rūangˋ lāiˊ tīˋ bhai mai~ jaˇ blīanˇ sīˊ	秋天很多地方的葉子會變色	derived	
หน้ามะม่วง	na mamuang	nāˋ ma~ mūangˋ	芒果季	engine-auto	
หน้าผลไม้อะไร	na phonlamai arai	nāˋ ponˊ mai~ aˇ rai	什麼水果季	derived	
พวกเราต้องช่วยกัน	phuak rao tong chuai kan	pūakˋ rāu dɔ̄ngˋ chūayˋ gan	我們必須互相幫忙	engine-auto	
ลดโลกร้อน	lot lok ron	lot~ lōkˋ rɔ̄n~	減緩地球暖化	derived	
พวกเราต้องช่วยกันลดโลกร้อน	phuak rao tong chuai kan lot lok ron	pūakˋ rāu dɔ̄ngˋ chūayˋ gan lot~ lōkˋ rɔ̄n~	我們必須互相幫忙減緩地球暖化	derived	
ละลายหมดแล้ว	lalai mot laeo	la~ lāi motˇ lɛ̄u~	都融化了	derived	
พอฝนตกก็น้ำท่วม	pho fon tok ko nam thuam	pɔ̄ fonˊ dokˇ gɔ̄ˋ nām~ tūamˋ	一下雨就淹水	derived	
ฤดูฝนปีนี้	ruedu fon pi ni	rɯ dhū fonˊ bī nī~	今年的雨季	derived	
หลายประเทศน้ำท่วม	lai prathet nam thuam	lāiˊ braˇ tētˋ nām~ tūamˋ	很多國家淹水	engine-auto	
คืนนี้พระจันทร์ดวงโต	khuen ni phra chan duang to	kɯ̄n nī~ pra~ jan dhūang dō	今晚月亮很大	derived	
ดวงขึ้นทำอะไรก็ดี	duang khuen tham arai ko di	dhūang kɯnˋ tam aˇ rai gɔ̄ˋ dhī	運氣好做什麼都順利	engine-auto	
ดวงตกทำอะไรก็แย่	duang tok tham arai ko yae	dhūang dokˇ tam aˇ rai gɔ̄ˋ yɛ̄ˋ	運氣差做什麼都倒楣	engine-auto	
ฝนตกแรง	fon tok raeng	fonˊ dokˇ rɛ̄ng	雨下得很大	derived	
ลมแรง	lom raeng	lom rɛ̄ng	風很大	derived	
ฝนต้องตกแน่นอน	fon tong tok naenon	fonˊ dɔ̄ngˋ dokˇ nɛ̄ˋ nɔ̄n	一定會下雨	derived	
ต้องไปหน้าฝน	tong pai na fon	dɔ̄ngˋ bai nāˋ fonˊ	必須在雨季去	derived	
ไม่ใส่หมวกกันน็อค	mai sai muak kan nok	maiˋ saiˇ mūakˇ gan nɔ̄kˋ	沒戴安全帽	engine-auto	
ถ้าไม่ใส่หมวกกันน็อค	tha mai sai muak kan nok	tāˋ maiˋ saiˇ mūakˇ gan nɔ̄kˋ	如果沒戴安全帽	engine-auto	
แย่แล้วลืมเอาร่มมา	yae laeo luem ao rom ma	yɛ̄ˋ lɛ̄u~ lɯ̄m au romˋ mā	糟了忘記帶傘來	derived	
ถ้าไม่มีร่ม	tha mai mi rom	tāˋ maiˋ mī romˋ	如果沒有傘	derived	
ต้องตากฝนกลับบ้าน	tong tak fon klap ban	dɔ̄ngˋ dākˇ fonˊ glapˇ bhānˋ	就必須淋雨回家	derived	
